pi@ubuntu:~/swarm-ros$ tail -n 600 /home/pi/.pm2/logs/ai-flight-error.log 
[INFO] [1760434494.310240747] [ai_flight_node]: [tick 003609] /ai/action -> vx=+0.485, vy=-0.325, vz=+0.404, speed=+0.423   [25.29 ms]
[INFO] [1760434494.400943113] [ai_flight_node]: [tick 003610] /ai/action -> vx=+0.486, vy=-0.324, vz=+0.403, speed=+0.423   [14.34 ms]
[INFO] [1760434494.514403895] [ai_flight_node]: [tick 003611] /ai/action -> vx=+0.486, vy=-0.324, vz=+0.403, speed=+0.423   [29.44 ms]
[INFO] [1760434494.610568589] [ai_flight_node]: [tick 003612] /ai/action -> vx=+0.488, vy=-0.323, vz=+0.403, speed=+0.423   [25.48 ms]
[INFO] [1760434494.712257538] [ai_flight_node]: [tick 003613] /ai/action -> vx=+0.488, vy=-0.323, vz=+0.403, speed=+0.423   [27.27 ms]
[INFO] [1760434494.810138096] [ai_flight_node]: [tick 003614] /ai/action -> vx=+0.484, vy=-0.343, vz=+0.405, speed=+0.422   [25.16 ms]
[INFO] [1760434494.911863295] [ai_flight_node]: [tick 003615] /ai/action -> vx=+0.484, vy=-0.342, vz=+0.405, speed=+0.422   [26.98 ms]
[INFO] [1760434495.011116180] [ai_flight_node]: [tick 003616] /ai/action -> vx=+0.486, vy=-0.341, vz=+0.404, speed=+0.422   [26.04 ms]
[INFO] [1760434495.100455437] [ai_flight_node]: [tick 003617] /ai/action -> vx=+0.486, vy=-0.341, vz=+0.404, speed=+0.422   [14.43 ms]
[INFO] [1760434495.210900943] [ai_flight_node]: [tick 003618] /ai/action -> vx=+0.487, vy=-0.340, vz=+0.403, speed=+0.422   [25.24 ms]
[INFO] [1760434495.312079168] [ai_flight_node]: [tick 003619] /ai/action -> vx=+0.487, vy=-0.339, vz=+0.403, speed=+0.422   [27.06 ms]
[INFO] [1760434495.409251557] [ai_flight_node]: [tick 003620] /ai/action -> vx=+0.489, vy=-0.338, vz=+0.402, speed=+0.422   [24.19 ms]
[INFO] [1760434495.512225958] [ai_flight_node]: [tick 003621] /ai/action -> vx=+0.489, vy=-0.338, vz=+0.402, speed=+0.422   [27.07 ms]
[INFO] [1760434495.599836904] [ai_flight_node]: [tick 003622] /ai/action -> vx=+0.490, vy=-0.337, vz=+0.401, speed=+0.423   [14.09 ms]
[INFO] [1760434495.711046879] [ai_flight_node]: [tick 003623] /ai/action -> vx=+0.490, vy=-0.337, vz=+0.401, speed=+0.423   [25.62 ms]
[INFO] [1760434495.810330649] [ai_flight_node]: [tick 003624] /ai/action -> vx=+0.491, vy=-0.336, vz=+0.401, speed=+0.423   [25.34 ms]
[INFO] [1760434495.911744861] [ai_flight_node]: [tick 003625] /ai/action -> vx=+0.491, vy=-0.336, vz=+0.401, speed=+0.423   [26.80 ms]
[INFO] [1760434495.996923336] [ai_flight_node]: [tick 003626] /ai/action -> vx=+0.492, vy=-0.335, vz=+0.400, speed=+0.423   [11.28 ms]
[INFO] [1760434496.111816390] [ai_flight_node]: [tick 003627] /ai/action -> vx=+0.492, vy=-0.335, vz=+0.400, speed=+0.423   [26.86 ms]
[INFO] [1760434496.212035824] [ai_flight_node]: [tick 003628] /ai/action -> vx=+0.489, vy=-0.355, vz=+0.402, speed=+0.422   [27.04 ms]
[INFO] [1760434496.310402417] [ai_flight_node]: [tick 003629] /ai/action -> vx=+0.488, vy=-0.354, vz=+0.402, speed=+0.422   [25.30 ms]
[INFO] [1760434496.411361633] [ai_flight_node]: [tick 003630] /ai/action -> vx=+0.490, vy=-0.353, vz=+0.402, speed=+0.422   [26.28 ms]
[INFO] [1760434496.511950594] [ai_flight_node]: [tick 003631] /ai/action -> vx=+0.490, vy=-0.352, vz=+0.401, speed=+0.422   [26.82 ms]
[INFO] [1760434496.611845241] [ai_flight_node]: [tick 003632] /ai/action -> vx=+0.492, vy=-0.351, vz=+0.401, speed=+0.422   [26.71 ms]
[INFO] [1760434496.711389475] [ai_flight_node]: [tick 003633] /ai/action -> vx=+0.493, vy=-0.350, vz=+0.400, speed=+0.422   [26.38 ms]
[INFO] [1760434496.797014663] [ai_flight_node]: [tick 003634] /ai/action -> vx=+0.493, vy=-0.350, vz=+0.400, speed=+0.422   [10.36 ms]
[INFO] [1760434496.912045320] [ai_flight_node]: [tick 003635] /ai/action -> vx=+0.494, vy=-0.349, vz=+0.399, speed=+0.422   [27.09 ms]
[INFO] [1760434497.010612691] [ai_flight_node]: [tick 003636] /ai/action -> vx=+0.494, vy=-0.349, vz=+0.399, speed=+0.422   [25.19 ms]
[INFO] [1760434497.096547510] [ai_flight_node]: [tick 003637] /ai/action -> vx=+0.495, vy=-0.348, vz=+0.398, speed=+0.422   [11.11 ms]
[INFO] [1760434497.211978629] [ai_flight_node]: [tick 003638] /ai/action -> vx=+0.495, vy=-0.348, vz=+0.398, speed=+0.422   [27.02 ms]
[INFO] [1760434497.300162899] [ai_flight_node]: [tick 003639] /ai/action -> vx=+0.497, vy=-0.347, vz=+0.398, speed=+0.423   [14.31 ms]
[INFO] [1760434497.411498809] [ai_flight_node]: [tick 003640] /ai/action -> vx=+0.497, vy=-0.347, vz=+0.398, speed=+0.423   [26.43 ms]
[INFO] [1760434497.514372741] [ai_flight_node]: [tick 003641] /ai/action -> vx=+0.498, vy=-0.346, vz=+0.397, speed=+0.423   [29.36 ms]
